"Event_Details_ID","Event_ID","Cloud","Rain","Wind","Gust","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10"
"20210521125920-965498685.836792","20210521125814-866232037.54425",100,2,1,1,0,0,0,0,0,0,0,0,0,0
"20210521133224-987949430.942535","20210521133151-52632272.2434998",100,2,1,3,1,0,0,0,999,0,0,0,0,0
"20210521133411-805818855.762482","20210521133339-974221229.553223",100,2,2,3,1,0,2,1,5,0,0,0,3,1
"20210521133626-136326372.623444","20210521133552-780381619.930267",100,1,2,3,0,0,0,0,0,0,0,0,0,0
"20210521133859-469948709.011078","20210521133835-44474422.9316711",100,2,2,3,0,0,0,1,0,0,0,0,0,0
"20210528093114-979829370.975494","20210528093051-300970494.747162",100,1,2,3,0,0,0,0,0,0,0,0,0,0
"20210528093458-627642035.484314","20210528093437-919377088.546753",100,1,1,3,0,0,0,0,0,0,0,0,0,0
"20210528093616-404834151.268005","20210528093557-462980031.967163",100,1,2,2,0,0,0,0,0,0,0,0,0,0
"20210528093754-832730174.064636","20210528093736-753688097.000122",100,1,1,2,0,0,1,0,0,0,0,0,0,0
"20210528094106-357023119.926453","20210528094049-678913354.873657",100,1,1,2,4,0,0,0,0,0,0,0,0,0
"20210528094246-272946834.564209","20210528094230-97929835.319519",100,1,1,1,0,0,0,0,0,0,0,0,0,0
"20210528094545-482428073.883057","20210528094530-340606570.243835",100,1,2,2,0,0,0,0,0,0,0,0,0,0
"20210528094815-814663946.628571","20210528094754-422918260.097504",40,0,2,3,0,0,0,0,0,0,0,0,0,0
"20210528095221-202618300.914764","20210528095013-161743700.504303",30,0,1,2,0,0,0,0,0,0,0,0,0,0
"20210528095531-15682399.2729187","20210528095445-634571135.044098",40,0,1,2,0,0,0,0,0,0,0,0,0,0
"20210528101300-395844280.719757","20210528101153-217799842.357635",100,0,1,2,0,0,0,0,0,0,0,0,0,0
"20210528102412-325205445.289612","20210528101631-757029533.38623",80,0,1,1,0,0,0,0,0,0,0,0,0,0
"20210528102625-323554813.861847","20210528102606-896616637.706757",40,0,1,1,1,2,1,1,2,0,0,0,0,0
"20210528102811-77980577.9457092","20210528102753-741780698.299408",30,0,2,3,2,0,0,0,0,0,0,0,0,0
"20210528102940-397243559.360504","20210528102926-245678842.067719",50,0,2,2,3,1,1,2,0,0,0,0,0,0
"20210528103239-504459083.080292","20210528103221-205047190.189362",40,0,2,3,1,1,0,0,0,0,0,0,0,0
"20210528103540-364688038.825989","20210528103512-203582286.834717",0,0,2,2,999,999,999,999,999,999,999,999,999,999
"20210528105445-516088128.089905","20210528105428-950330734.25293",0,0,2,3,999,999,999,999,999,999,999,999,999,999
"20210528105558-890127301.216125","20210528105538-283014774.32251",0,0,2,3,999,999,999,999,999,999,999,999,999,999
"20210528110850-760723590.85083","20210528110821-774740099.906921",0,0,2,3,999,999,999,999,999,999,999,999,999,999
"20210528111122-829801619.052887","20210528111042-263792932.033539",0,0,2,3,999,999,999,999,999,999,999,999,999,999
"20210528112225-410073220.729828","20210528112206-162821590.900421",90,0,2,3,1,0,0,0,0,0,0,1,0,0
"20210528114632-462980031.967163","20210528113530-502453923.225403",100,1,1,3,0,0,0,0,0,1,0,0,1,0
"20210528115739-390471458.435059","20210528115427-654499411.582947",100,1,1,3,2,0,1,0,0,0,0,0,0,1
"20210528120306-530212521.55304","20210528120235-704395771.026611",100,0,2,4,0,0,0,0,0,1,0,0,0,1
"20210528121031-479978263.378143","20210528121003-347726404.666901",0,0,0,1,999,999,999,999,999,999,999,999,999,999
"20210602091919-524868428.707123","20210602091854-949556648.731232",0,0,2,3,999,999,999,999,999,999,999,999,999,999
"20210602092247-986093163.490295","20210602092048-824602127.075195",0,0,1,3,999,999,999,999,999,999,999,999,999,999
"20210602141351-633178889.751434","20210602141308-712730467.319489",0,0,1,2,999,999,999,999,999,999,999,999,999,999
"20210602142726-622696697.711945","20210602142641-468700110.912323",0,0,0,1,0,0,0,0,1,0,0,0,0,0
"20210602143315-412766814.231873","20210602143258-646587133.407593",90,0,0,1,0,0,0,0,0,0,0,0,0,0
"20210602150424-45352756.9770813","20210602150359-814490020.275116",100,2,2,4,0,0,0,0,0,0,0,0,0,0
"20210602151114-910964310.16922","20210602151033-589163005.35202",100,1,2,3,0,0,0,0,0,0,0,0,0,0
"20210602152518-712730467.319489","20210602151502-410073220.729828",100,1,2,4,0,0,0,0,0,0,0,0,0,0
"20210602152649-561040103.435516","20210602152632-428456366.062164",100,1,2,4,0,0,0,0,0,0,0,0,0,0
"20210602154136-474459171.295166","20210602153616-489894747.73407",100,1,1,2,1,1,0,0,999,999,1,0,0,0
"20210602154339-81893563.2705688","20210602154320-544013977.050781",100,1,1,2,0,0,0,1,0,0,0,1,0,0
"20210602155415-790128886.699677","20210602154550-30950605.8692932",100,0,1,2,0,0,0,0,0,0,0,1,0,0
"20210602161408-219409108.161926","20210602161324-149245738.983154",100,0,1,2,1,0,0,0,0,0,0,0,0,0
"20210602161727-427533328.533173","20210602161636-814663946.628571",100,0,1,2,0,1,0,0,0,0,0,0,0,0
"20210604091422-961953163.146973","20210604091401-790480017.662048",100,0,1,3,0,0,0,0,0,0,0,0,0,0
"20210604091743-100052237.510681","20210604091721-15703916.5496826",100,2,1,3,1,0,0,0,0,0,0,0,0,0
"20210604092217-627642035.484314","20210604092153-919377088.546753",100,2,1,2,0,0,0,0,0,0,0,0,0,0
"20210604092719-628751873.970032","20210604092524-474459171.295166",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"20210604093043-657054960.727692","20210604093026-241219.997406006",0,0,1,2,1,0,1,0,0,0,0,0,0,0
"20210604094145-673646688.461304","20210604093341-750687718.391418",60,0,1,2,0,1,0,1,0,1,0,1,0,0
"20210604094405-347726404.666901","20210604094346-923445165.157318",40,0,1,3,0,0,0,0,0,0,0,0,0,0
"20210604094619-422918260.097504","20210604094549-695281803.607941",100,0,1,2,0,0,0,0,0,1,1,0,1,0
"20210604094905-161743700.504303","20210604094837-613934934.139252",0,0,1,2,1,0,0,0,1,0,0,0,0,0
"20210618145825-647821187.973022","20210618145741-298165440.559387",0,0,2,4,0,0,0,0,0,0,0,0,0,0
"20210618150151-646587133.407593","20210618150109-160441517.829895",0,0,2,4,0,0,0,0,1,1,0,0,0,0
"20210618150447-677947700.023651","20210618150419-916163980.960846",0,0,1,2,1,0,2,0,0,0,0,1,0,0
"20210618151017-289562463.760376","20210618150657-18758356.5711975",0,0,2,4,1,0,1,0,1,1,1,0,0,0
"20210618151231-589163005.35202","20210618151206-829801619.052887",40,0,2,3,1,0,1,0,0,0,0,0,1,0
"20210618151759-160441517.829895","20210618151710-401374340.057373",80,0,2,4,0,0,0,0,0,0,0,0,0,0
"20210618152113-289562463.760376","20210618151922-97973823.5473633",90,0,2,3,0,0,0,0,0,0,1,0,0,0
"20210618152311-589163005.35202","20210618152236-829801619.052887",70,0,2,3,0,0,0,0,0,0,0,0,0,0
"20210618152526-633178889.751434","20210618152502-712730467.319489",90,0,2,4,0,1,0,1,0,0,0,0,0,0
"20210618152720-353472650.051117","20210618152647-513737499.713898",80,0,1,3,0,0,0,0,0,0,0,0,0,0
"20210618153108-298165440.559387","20210618153043-592458248.138428",0,0,1,3,1,0,0,1,1,0,0,0,0,1
"20210618153329-278279960.155487","20210618153304-979829370.975494",80,0,1,2,0,1,1,0,1,1,1,1,1,1
"20210628110332-814490020.275116","20210628110217-774740099.906921",0,0,0,1,999,999,999,999,999,999,999,999,999,999
